hsa-let-7a-2.MIMAT0010195	2340
hsa-let-7a.MIMAT0000062	6219
hsa-let-7b.MIMAT0000063	8181
hsa-let-7b.MIMAT0004482	2204
hsa-let-7c.MIMAT0000064	50600
hsa-let-7d.MIMAT0000065	156
hsa-let-7d.MIMAT0004484	882
hsa-let-7e.MIMAT0000066	111
hsa-let-7e.MIMAT0004485	0
hsa-let-7f.MIMAT0000067	4110
hsa-let-7g.MIMAT0000414	123
hsa-let-7g.MIMAT0004584	14184
hsa-let-7i.MIMAT0000415	5040
hsa-let-7i.MIMAT0004585	51
hsa-mir-1.MIMAT0000416	4020
hsa-mir-100.MIMAT0000098	36777
hsa-mir-100.MIMAT0004512	1842
hsa-mir-101.MIMAT0000099	2188
hsa-mir-103a-2.MIMAT0009196	2760
hsa-mir-103a.MIMAT0000101	1437
hsa-mir-106a.MIMAT0000103	0
hsa-mir-106b.MIMAT0000680	21084
hsa-mir-106b.MIMAT0004672	9961
hsa-mir-107.MIMAT0000104	0
hsa-mir-10a.MIMAT0000253	13932
hsa-mir-10a.MIMAT0004555	308
hsa-mir-10b.MIMAT0000254	38124
hsa-mir-10b.MIMAT0004556	45472
hsa-mir-1179.MIMAT0005824	4598
hsa-mir-1185.MIMAT0005798	1713
hsa-mir-1226.MIMAT0005577	1611
hsa-mir-1227.MIMAT0005580	23328
hsa-mir-1229.MIMAT0005584	6813
hsa-mir-1234.MIMAT0005589	1677
hsa-mir-1247.MIMAT0005899	9114
hsa-mir-1258.MIMAT0005909	5992
hsa-mir-125a.MIMAT0000443	0
hsa-mir-125b-2.MIMAT0004603	47124
hsa-mir-125b.MIMAT0000423	39872
hsa-mir-126.MIMAT0000444	1632
hsa-mir-126.MIMAT0000445	3152
hsa-mir-1266.MIMAT0005920	0
hsa-mir-127.MIMAT0000446	55848
hsa-mir-127.MIMAT0004604	26686
hsa-mir-1275.MIMAT0005929	552
hsa-mir-1277.MIMAT0005933	7660
hsa-mir-128.MIMAT0000424	245
hsa-mir-129-2.MIMAT0004605	2480
hsa-mir-1294.MIMAT0005884	1182
hsa-mir-1295a.MIMAT0005885	4372
hsa-mir-1301.MIMAT0005797	33968
hsa-mir-1304.MIMAT0005892	2675
hsa-mir-1307.MIMAT0005951	17380
hsa-mir-130b.MIMAT0000691	5495
hsa-mir-130b.MIMAT0004680	9279
hsa-mir-132.MIMAT0000426	219
hsa-mir-133a.MIMAT0000427	566
hsa-mir-133b.MIMAT0000770	0
hsa-mir-134.MIMAT0000447	52479
hsa-mir-136.MIMAT0000448	22935
hsa-mir-136.MIMAT0004606	38388
hsa-mir-138-1.MIMAT0004607	4320
hsa-mir-139.MIMAT0000250	4680
hsa-mir-139.MIMAT0004552	22202
hsa-mir-140.MIMAT0000431	253
hsa-mir-140.MIMAT0004597	15323
hsa-mir-141.MIMAT0000432	25840
hsa-mir-141.MIMAT0004598	1604
hsa-mir-142.MIMAT0000433	48
hsa-mir-142.MIMAT0000434	32
hsa-mir-143.MIMAT0000435	29412
hsa-mir-143.MIMAT0004599	10044
hsa-mir-144.MIMAT0000436	90
hsa-mir-144.MIMAT0004600	1005
hsa-mir-145.MIMAT0000437	26847
hsa-mir-145.MIMAT0004601	5224
hsa-mir-1468.MIMAT0006789	0
hsa-mir-146a.MIMAT0000449	45
hsa-mir-146a.MIMAT0004608	0
hsa-mir-146b.MIMAT0002809	52
hsa-mir-146b.MIMAT0004766	312
hsa-mir-148a.MIMAT0000243	0
hsa-mir-148a.MIMAT0004549	0
hsa-mir-148b.MIMAT0000759	533
hsa-mir-148b.MIMAT0004699	2282
hsa-mir-149.MIMAT0000450	0
hsa-mir-149.MIMAT0004609	0
hsa-mir-150.MIMAT0000451	120
hsa-mir-150.MIMAT0004610	57
hsa-mir-151a.MIMAT0000757	126
hsa-mir-151a.MIMAT0004697	9522
hsa-mir-152.MIMAT0000438	31702
hsa-mir-153.MIMAT0000439	2292
hsa-mir-154.MIMAT0000452	35646
hsa-mir-155.MIMAT0000646	48
hsa-mir-155.MIMAT0004658	32
hsa-mir-15a.MIMAT0004488	1150
hsa-mir-15b.MIMAT0000417	14340
hsa-mir-15b.MIMAT0004586	19932
hsa-mir-16-2.MIMAT0004518	25976
hsa-mir-16.MIMAT0000069	1966
hsa-mir-17.MIMAT0000070	30704
hsa-mir-17.MIMAT0000071	6856
hsa-mir-181a-1.MIMAT0000270	0
hsa-mir-181a.MIMAT0000256	0
hsa-mir-181b.MIMAT0000257	0
hsa-mir-181c.MIMAT0000258	112
hsa-mir-181c.MIMAT0004559	130
hsa-mir-181d.MIMAT0002821	12
