A2M	6.14966211296487e-08
A2ML1	6.14966211296487e-08
AASS	6.14966211296487e-08
ABAT	6.14966211296487e-08
ABCA10	6.14966211296487e-08
ABCA6	7.74849621059793e-08
ABCA8	7.74851001963705e-08
ABCA9	7.74799671670891e-08
ABCB1	7.74842596537833e-08
ABCB4	6.14966211296487e-08
ABCB5	6.14966211296487e-08
ABCC11	6.15118732678256e-08
ABCC12	6.15118732678256e-08
ABCC8	6.14966211296487e-08
ABCC9	7.74865171522992e-08
ABCD2	7.74855685065796e-08
ABCE1	6.15118732678256e-08
ABCG2	6.14966211296487e-08
ABHD15	6.14966211296487e-08
ABHD4	6.14966211296487e-08
ABHD8	6.14966211296487e-08
ABI3	7.74871656070426e-08
ABI3BP	7.74833110633383e-08
ABLIM2	6.14966211296487e-08
ABLIM3	6.14966211296487e-08
ABT1	6.14966211296487e-08
ACACB	6.14966211296487e-08
ACADSB	6.14966211296487e-08
ACAP1	7.74906242156496e-08
ACBD7	6.14966211296487e-08
ACE2	6.14966211296487e-08
ACHE	6.14966211296487e-08
ACN9	6.14966211296487e-08
ACO2	6.15118732678256e-08
ACOT1	6.15118732678256e-08
ACOT2	6.15118732678256e-08
ACOT4	6.14966211296487e-08
ACOX2	6.14966211296487e-08
ACSL4	7.74867633236552e-08
ACSL5	6.14966211296487e-08
ACSM5	6.14966211296487e-08
ACTA2	7.74791027238088e-08
ACTG2	6.14966211296487e-08
ACTR2	6.15118732678256e-08
ACVR1	6.14966211296487e-08
ACVR2A	6.14966211296487e-08
ACVRL1	7.74887327508144e-08
ACY3	6.14966211296487e-08
ADA	6.14966211296487e-08
ADAL	6.14966211296487e-08
ADAM12	7.74848960629227e-08
ADAM19	6.14966211296487e-08
ADAM23	6.14966211296487e-08
ADAM28	6.14966211296487e-08
ADAM33	6.15118732678256e-08
ADAM6	7.74846979344284e-08
ADAMDEC1	6.14966211296487e-08
ADAMTS10	6.14966211296487e-08
ADAMTS12	7.74811978314252e-08
ADAMTS14	7.74815160095408e-08
ADAMTS15	6.14966211296487e-08
ADAMTS16	7.74817681525449e-08
ADAMTS18	6.14966211296487e-08
ADAMTS2	7.74821283596832e-08
