AARS2	30814
ABCA1	0
ABCA6	0
ABCA8	19196
ABCA9	0
ABCC10	3846
ABCC9	350238
ABCD2	686592
ABCE1	0
ABHD11	389
ABHD15	680640
ABHD6	6193
ABI1	0
ABI2	21216
ABLIM3	225386
ACAA2	366957
ACACB	597841
ACADL	68278
ACADS	8560
ACAP1	100
ACAP2	0
ACAT1	623314
ACER3	5432
ACIN1	0
ACO1	782548
ACO2	346
ACOT1	64248
ACOT2	124971
ACOX1	132795
ACSL1	152838
ACSL3	0
ACSM5	665614
ACSS2	87003
ACTR1A	1533
ACVR1C	358732
ACVRL1	2177
ADAM6	0
ADAMTS1	0
ADAMTS13	0
ADAMTSL4	28
ADAP2	735
ADCK4	15480
ADCK5	3015
ADCY4	0
ADH1A	300586
ADH1B	522781
ADIPOQ	774072
ADIPOR2	105084
ADNP	2724
ADRB1	48596
ADRBK2	63329
ADRM1	840
AFAP1L1	21165
AFF3	0
AFF4	387
AFTPH	2442
AGAP3	7140
AGPAT2	741312
AGR2	0
AGRN	7551
AHCY	0
AIDA	276426
AIF1	590
AIFM2	764190
AK1	0
AK3	110187
AKAP11	6
AKAP12	384276
AKAP8L	7620
AKR1C1	446812
AKR1C2	135509
AKR1C3	272517
AKT1	0
AKT2	10885
ALCAM	0
ALDH1L1	580147
ALDH2	771147
ALDH3B2	0
ALG10B	0
ALKBH2	879
ALOX5AP	0
ALS2CR4	0
ALS2CR8	502
ANAPC11	104
ANAPC2	55200
ANGPT1	266706
ANGPTL2	80288
ANK2	617
ANK3	2182
ANKRD17	840
ANKRD36BP1	0
ANKRD40	424235
ANKRD46	0
ANKS3	24453
ANLN	456
ANO1	0
ANO3	135876
ANO6	646300
ANO9	8712
ANTXR2	619100
ANXA2	312
ANXA2P2	0
ANXA5	114530
ANXA6	469409
AOC2	682110
AOC3	745321
AOX1	80
AP1AR	627
AP1G2	63378
AP1M1	158520
AP1M2	103240
AP2A1	0
AP3S1	0
APBB1IP	88417
APBB3	53
APC	0
API5	144
APOB	38052
APOL3	0
APOL6	155176
AQP7	745608
AQP7P1	539909
AQPEP	812696
ARFGAP1	11295
ARFGEF1	0
ARFGEF2	0
ARFIP2	69816
ARFRP1	1890
ARGLU1	176
ARHGAP21	1147
ARHGAP31	142785
ARHGAP32	0
ARHGAP33	447
ARHGAP39	104928
ARHGAP4	0
ARHGAP8	3966
ARHGAP9	0
ARHGEF15	6510
ARHGEF19	13100
ARHGEF38	1370
ARID1A	360
ARID2	1296
ARID4B	940
ARL2	6120
ARL6IP4	2086
ARMCX5	4220
ARRB2	59
ARRDC1	83864
ARSD	2316
ARVCF	76300
ASAH1	512
ASAM	191718
ASB6	139500
ASF1B	74
ASH1L	284
ASPA	173456
ASPH	563091
ASPHD1	0
ASPM	513
ASS1	98824
ASXL2	0
ATAD3A	788
ATAD3B	27675
ATAD5	1146
ATF6B	0
ATG2A	0
ATG2B	0
ATL2	323
ATL3	0
ATP13A1	10916
ATP2B4	293814
ATP5D	0
ATP5E	304
ATP5G3	296
ATP5H	1508
ATP5J	40194
ATP5L	2
ATP5O	20
ATP6V0A4	0
ATP6V0E1	0
ATP6V1E1	3092
ATP6V1F	0
ATP8B4	0
ATP9A	13722
ATPAF1	3900
ATRX	16
AURKAIP1	1417
AVPI1	563445
AVPR2	0
AXIN1	62567
AZI1	35420
AZI2	743
B3GALT4	0
B3GALT5	0
B3GAT3	3996
B3GNT3	240
B4GALNT4	25984
BAALC	18428
BAIAP2	32553
BAIAP2L1	6152
BANK1	0
BARX2	0
BAT2L2	1404
BBS1	0
BCAP29	110725
BCAP31	34440
BCKDHA	0
BCL2L11	135
BCL2L2	48240
BCL7B	35811
BCLAF1	201
BDP1	0
BHMT2	801613
BIN1	1010
BIRC6	2604
BLOC1S1	111
BMP1	0
BMS1P4	158
BNC2	0
BNIP3	12294
BNIP3L	0
BOK	726495
BPTF	2445
BRF1	878
BRI3	4128
BRPF1	2664
BRSK1	1812
BRWD3	0
BSPRY	7527
BST1	3910
BTAF1	2112
BTBD3	216
BTBD6	231444
BTD	10640
BTF3	1392
BTK	45
BTNL9	128160
BUB1	122
BUB1B	568
BZRAP1	48807
C10orf116	692580
C10orf12	0
C10orf128	0
C10orf18	0
C10orf2	0
C10orf35	0
C10orf54	174
C10orf58	755013
C10orf72	241740
C11orf2	5
C11orf35	8598
C11orf52	0
C11orf83	650
C12orf32	0
C13orf33	22
C14orf135	242
C14orf139	397706
C14orf180	579195
C14orf2	0
C14orf49	23193
C14orf79	0
C15orf24	0
C15orf44	13690
C15orf63	0
C16orf42	1620
C16orf93	0
C17orf28	21824
C17orf56	880
C17orf70	4396
C18orf45	409
C19orf12	643188
C19orf25	1136
C19orf28	0
C19orf29	23028
C19orf46	183148
C19orf48	5538
C19orf57	0
C19orf63	0
C19orf70	120
C1QA	1206
C1QB	1104
C1QC	1256
C1QTNF1	293650
C1QTNF2	15
C1R	16
C1S	93
C1orf107	9264
C1orf123	4152
C1orf159	24650
C1orf172	151400
C1orf210	0
C1orf226	0
C1orf86	0
C1orf9	15
C2	290
C20orf134	2874
C20orf151	131120
C20orf160	2268
C20orf30	0
C20orf72	3798
C21orf33	0
C21orf70	0
C21orf88	0
C22orf25	3020
C22orf30	160
C22orf36	7776
C2CD2	727936
C2CD3	1729
C2orf15	1242
C2orf60	95
C2orf7	13782
C3	0
C3AR1	340
C3orf55	626841
C5orf23	1868
C5orf32	41570
C5orf42	328
C5orf43	0
C5orf62	174390
C6orf106	13270
C6orf132	8475
C6orf134	0
C6orf155	0
C6orf167	309
C6orf168	0
C6orf170	103400
C6orf47	414
C7orf41	717282
C7orf58	691940
C7orf59	80
C9orf114	1378
C9orf122	1028
C9orf140	1512
C9orf152	1575
C9orf69	170
C9orf7	34608
C9orf82	0
C9orf86	1230
CABIN1	0
CADM4	53010
CALB2	794340
CALCOCO2	0
CALCRL	0
